#-----------------------------------------------------
# Beispiel Daten fuer die Verwendung von Gnuplot
# ----------------------------------------------------
# Alle Zeilen mit # am Anfang sind Kommentarzeilen.
# ----------------------------------------------------
# Diese Datei kann z.B. mit dem Befehl
#    plot "example.dat"
# auf der Gnuplot-Konsole in einem Grafikfenster aus-
# gegeben werden.
# ----------------------------------------------------
# In den Spalten stehen jeweils die x-Werte der Knoten
# sowie die y-Werte, dh. f(x), wobei
#    f(x)=0.1*x^5-x^2+sin(x).
#-----------------------------------------------------
#       x_i           f(x_i)
   0.0000000000    0.0000000000
   0.0500000000    0.0474792005
   0.1000000000    0.0898344166
   0.1500000000    0.1269457262
   0.2000000000    0.1587013308
   0.2500000000    0.1850016155
   0.3000000000    0.2057632067
   0.3500000000    0.2209230262
   0.4000000000    0.2304423423
   0.4500000000    0.2343108154
   0.5000000000    0.2325505386
   0.5500000000    0.2252200727
   0.6000000000    0.2124184734
   0.6500000000    0.1942893120
   0.7000000000    0.1710246872
   0.7500000000    0.1428692288
   0.8000000000    0.1101240909
   0.8500000000    0.0731509364
   0.9000000000    0.0323759096
   0.9500000000   -0.0117064015
   1.0000000000   -0.0585290152
   1.0500000000   -0.1074486182
   1.1000000000   -0.1577416399
   1.1500000000   -0.2086003410
   1.2000000000   -0.2591289140
   1.2500000000   -0.3083395994
   1.3000000000   -0.3551488146
   1.3500000000   -0.3983732984
   1.4000000000   -0.4367262700
   1.4500000000   -0.4688136027
   1.5000000000   -0.4931300134
   1.5500000000   -0.5080552671
   1.6000000000   -0.5118503970
   1.6500000000   -0.5026539403
   1.7000000000   -0.4784781895
   1.7500000000   -0.4372054594
   1.8000000000   -0.3765843691
   1.8500000000   -0.2942261408
   1.9000000000   -0.1876009123
   1.9500000000   -0.0540340662
   2.0000000000    0.1092974268
